platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes
Netflix,Hell or High Water,MOVIE,2016,102,thriller,7.6,227350
Netflix,Legend,MOVIE,2015,131,thriller,6.9,178601
Netflix,Blair Witch,MOVIE,2016,89,thriller,5.0,44716
Netflix,War Dogs,MOVIE,2016,114,crime,7.1,212032
Netflix,Blackhat,MOVIE,2015,133,action,5.4,58192
Netflix,The Take,MOVIE,2016,92,action,6.3,43449
Netflix,Nocturnal Animals,MOVIE,2016,117,thriller,7.5,264884
Netflix,Raw,MOVIE,2016,99,horror,7.0,72460
Netflix,The Hateful Eight,MOVIE,2015,188,thriller,7.8,570138
Netflix,Pan,MOVIE,2015,111,action,5.7,63788
Netflix,The Gift,MOVIE,2015,108,drama,7.0,155102
Netflix,Wild Card,MOVIE,2015,92,action,5.6,55605
Netflix,"Hail, Caesar!",MOVIE,2016,106,comedy,6.3,133837
